OBJECTID,NAME20,ALAND20,AWATER20,GEOID,NAME,DP03_0001E,DP03_0002E,DP03_0003E,DP03_0004E,DP03_0005E,DP03_0006E,DP03_0007E,DP03_0008E,DP03_0009P,DP03_0010E,DP03_0011E,DP03_0012E,DP03_0013E,DP03_0014E,DP03_0015E,DP03_0016E,DP03_0017E,DP03_0018E,DP03_0019E,DP03_0020E,DP03_0021E,DP03_0022E,DP03_0023E,DP03_0024E,DP03_0025E,DP03_0026E,DP03_0027E,DP03_0028E,DP03_0029E,DP03_0030E,DP03_0031E,DP03_0032E,DP03_0033E,DP03_0034E,DP03_0035E,DP03_0036E,DP03_0037E,DP03_0038E,DP03_0039E,DP03_0040E,DP03_0041E,DP03_0042E,DP03_0043E,DP03_0044E,DP03_0045E,DP03_0046E,DP03_0047E,DP03_0048E,DP03_0049E,DP03_0050E,DP03_0051E,DP03_0052E,DP03_0053E,DP03_0054E,DP03_0055E,DP03_0056E,DP03_0057E,DP03_0058E,DP03_0059E,DP03_0060E,DP03_0061E,DP03_0062E,DP03_0063E,DP03_0064E,DP03_0065E,DP03_0066E,DP03_0067E,DP03_0068E,DP03_0069E,DP03_0070E,DP03_0071E,DP03_0072E,DP03_0073E,DP03_0074E,DP03_0075E,DP03_0076E,DP03_0077E,DP03_0078E,DP03_0079E,DP03_0080E,DP03_0081E,DP03_0082E,DP03_0083E,DP03_0084E,DP03_0085E,DP03_0086E,DP03_0087E,DP03_0088E,DP03_0089E,DP03_0090E,DP03_0091E,DP03_0092E,DP03_0093E,DP03_0094E,DP03_0095E,DP03_0096E,DP03_0097E,DP03_0098E,DP03_0099E,DP03_0100E,DP03_0101E,DP03_0102E,DP03_0103E,DP03_0104E,DP03_0105E,DP03_0106E,DP03_0107E,DP03_0108E,DP03_0109E,DP03_0110E,DP03_0111E,DP03_0112E,DP03_0113E,DP03_0114E,DP03_0115E,DP03_0116E,DP03_0117E,DP03_0118E,DP03_0119P,DP03_0120P,DP03_0121P,DP03_0122P,DP03_0123P,DP03_0124P,DP03_0125P,DP03_0126P,DP03_0127P,DP03_0128P,DP03_0129P,DP03_0130P,DP03_0131P,DP03_0132P,DP03_0133P,DP03_0134P,DP03_0135P,DP03_0136P,DP03_0137P,GIS_ID,SE_ANNO_CAD_DATA,GLOBALID,TRACTCE,SHAPEAREA,SHAPELEN
174,22.01,415173,0,11001002201,"Census Tract 22.01; District of Columbia; District of Columbia",2662,1809,1801,1630,171,8,853,1801,9.5,1382,892,884,793,220,154,292,267,1590,495,171,211,9,114,590,33.2,1630,1099,302,146,43,40,1630,0,86,9,21,47,60,59,75,300,324,196,267,186,1630,1130,405,62,33,1022,0,0,42,40,104,92,66,222,138,318,127155,174967,833,190517,342,14361,274,39135,38,11766,57,4109,55,677,0,0,6,0,65,61,20,185,111,229,157875,178469,52300,345,76791,154774,72619,109038,95175,3454,3328,2445,1128,126,859,35,2168,1749,1587,1523,1326,230,64,162,135,52,83,27,419,419,225,214,0,2.7,0,0,2.5,0,0,0,0,0,4.6,0,0,0,0,5.8,6.2,3.7,3.5,10.1,ACS_Economic_DC_CensusTract_176,,{466E14A0-0B7A-4C38-985F-2CDA936C8BB1},002201,0,0
175,22.02,698895,566,11001002202,"Census Tract 22.02; District of Columbia; District of Columbia",2430,1728,1728,1588,140,0,702,1728,8.1,1262,899,899,844,395,352,398,296,1512,679,56,402,40,41,294,37.6,1588,765,393,315,63,52,1588,0,34,13,14,71,53,56,215,248,239,279,257,109,1588,1276,262,50,0,1273,66,0,26,140,124,227,239,149,49,253,87919,117201,1037,123026,275,16947,248,43098,16,0,73,4047,321,674,0,0,11,103,114,90,28,79,34,215,89022,140829,46628,599,87723,83118,49516,0,57639,3232,3085,1884,1499,147,887,36,2005,1655,1527,1448,1234,293,79,128,111,56,55,17,350,335,98,264,15,10.8,17.8,0,0,0,0,27.9,38.2,0,14.2,31.1,31.1,30.8,31.4,8.2,9.3,1.2,14.3,13.9,ACS_Economic_DC_CensusTract_177,,{56C6C42D-B874-445C-B9F6-54E0639360F0},002202,0,0
176,23.01,407679,0,11001002301,"Census Tract 23.01; District of Columbia; District of Columbia",2502,2048,2048,1828,220,0,454,2048,10.7,1385,1102,1102,982,366,336,340,303,1763,493,54,484,15,130,587,35,1828,1337,159,299,12,21,1828,0,21,54,7,92,122,52,78,329,260,91,217,505,1828,990,697,134,7,1246,158,14,17,25,76,86,62,197,269,342,141111,156863,1113,161810,227,28433,198,24214,14,0,118,5270,112,886,88,0,7,25,47,36,27,126,235,295,174900,173392,58654,360,76346,107823,77668,103359,84688,3233,3165,2472,988,68,782,45,2101,1814,1660,1647,1492,192,13,154,154,39,115,0,287,277,164,148,10,9.9,13.9,0,0,0,0,26.7,64.3,0,10.4,15.6,15.6,0,26.1,8.9,9.6,4.3,8.8,17.5,ACS_Economic_DC_CensusTract_178,,{6BDC28D2-7548-4703-9459-BE17FC776097},002301,0,0
177,64,691410,243648,11001006400,"Census Tract 64; District of Columbia; District of Columbia",2226,1277,1253,1137,116,24,949,1253,9.3,1170,583,583,517,74,11,230,106,1161,322,13,243,142,160,281,26.9,1137,773,178,107,11,68,1137,0,21,13,0,107,14,35,99,304,195,71,115,163,1137,804,275,58,0,1467,230,218,130,51,69,100,160,271,106,132,67232,87243,995,114566,355,15243,179,24614,169,9862,56,518,577,529,90,104,119,40,30,36,23,23,24,40,23638,55614,48848,938,82955,101052,78030,85568,112679,2638,2440,1189,1524,198,520,94,1784,1201,1107,1016,869,185,91,94,81,17,64,13,583,583,50,562,0,48.2,64.5,47.6,8.8,0,0,68,76.9,0,36.8,65.3,65.3,57.3,70.9,31.6,31.3,33.5,49.4,21.1,ACS_Economic_DC_CensusTract_179,,{455A64C0-8097-4FC0-84D4-10B60DB633A0},006400,0,0
178,65,509297,0,11001006500,"Census Tract 65; District of Columbia; District of Columbia",2309,1617,1617,1513,104,0,692,1617,6.4,1341,788,788,731,195,136,301,83,1513,212,37,226,435,99,504,23.9,1513,1232,70,205,6,0,1513,0,0,16,0,96,0,84,106,472,181,37,126,395,1513,890,503,120,0,1380,115,39,13,28,47,39,57,412,215,415,141250,190433,1185,192907,169,33971,168,86198,9,0,16,0,3,468,55,0,3,11,9,0,0,28,141,221,191912,289118,96160,912,125817,121022,125594,143066,126226,2732,2626,2302,557,106,496,49,1820,1507,1414,1384,1373,32,30,93,66,33,33,27,313,313,206,137,0,11.8,21.2,0,0,0,0,48.7,57.3,0,21.3,32.9,32.9,0,49.4,18.7,14.1,38.7,18.6,24.2,ACS_Economic_DC_CensusTract_180,,{12C4DE51-47AD-4CF3-84E0-6813C62E7CC8},006500,0,0
179,66,285156,0,11001006600,"Census Tract 66; District of Columbia; District of Columbia",1879,1448,1428,1321,107,20,431,1428,7.5,950,717,717,662,176,143,130,130,1341,185,57,376,309,72,342,31.8,1321,1152,52,117,0,0,1321,8,8,18,0,9,17,60,90,231,70,33,178,599,1321,590,625,106,0,1120,50,0,18,49,87,105,69,76,172,494,178587,195068,865,204760,243,26509,240,67271,0,0,0,0,9,550,0,0,7,0,53,9,11,19,90,361,227880,254405,99723,570,93500,131086,113024,113673,113942,2154,2114,1892,597,40,311,0,1428,1353,1246,1226,1183,43,20,107,107,54,53,0,75,75,66,26,0,0,0,0,0,0,0,0,0,0,6.1,0,0,0,0,7.1,9.1,0,0,16.7,ACS_Economic_DC_CensusTract_181,,{947E3832-1ED6-4135-A72D-AB8C1784EF3D},006600,0,0
180,67,428358,0,11001006700,"Census Tract 67; District of Columbia; District of Columbia",3496,2612,2551,2457,94,61,884,2551,3.7,1773,1288,1276,1249,291,255,311,264,2497,577,73,498,261,392,696,27.1,2457,2093,66,253,15,30,2457,0,1,25,0,78,0,198,164,616,340,93,385,557,2457,1439,711,307,0,2067,0,21,23,10,122,237,166,372,180,936,164297,238552,1763,220428,460,35646,549,89105,31,0,6,0,11,1027,0,0,11,0,10,0,36,110,101,759,250001,320768,121593,1040,92378,154073,109739,128614,131591,3997,3967,3857,962,30,622,0,2460,2270,2176,2146,2121,44,30,94,94,64,54,0,190,190,175,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.1,1.5,0,0,3,ACS_Economic_DC_CensusTract_182,,{ACB4D708-4974-4FA9-9693-2872A69C5615},006700,0,0
181,68.02,280108,0,11001006802,"Census Tract 68.02; District of Columbia; District of Columbia",1851,1432,1402,1200,202,30,419,1402,14.4,1026,908,908,713,204,204,116,108,1201,474,99,335,14,53,226,28.3,1200,888,65,206,15,26,1200,0,15,0,0,52,31,43,58,322,153,71,95,360,1200,652,481,67,0,1018,2,18,6,36,33,85,49,369,94,326,123889,182422,930,177066,303,14249,238,47724,0,0,19,0,34,484,0,0,6,0,12,34,20,94,41,277,211842,255876,83813,534,106407,109313,92625,142250,84130,2128,2107,1930,583,21,328,0,1519,1295,1100,1085,1077,29,15,195,195,195,40,0,224,218,179,201,6,1,0,0,1.2,0,0,0,0,0,10,0,0,0,0,11.7,11.7,11.4,1.3,22.3,ACS_Economic_DC_CensusTract_183,,{10A02D1A-E84E-4621-B213-001BD64B2372},006802,0,0
182,74.08,372349,0,11001007408,"Census Tract 74.08; District of Columbia; District of Columbia",2356,1494,1494,1025,469,0,862,1494,31.4,1224,733,733,523,758,524,904,652,993,544,178,227,0,0,44,40.6,1025,313,424,147,0,141,1025,0,0,32,0,35,84,0,34,167,173,366,64,70,1025,813,189,23,0,1443,360,38,274,59,282,148,102,102,0,78,33417,47849,1053,59027,219,15040,40,22398,113,9196,368,1988,702,629,124,38,60,44,198,22,15,60,48,20,35892,53246,17731,814,0,39261,34485,49349,41927,3805,3577,897,2938,228,1786,0,1700,1340,970,911,450,486,59,370,254,52,202,116,360,307,27,305,53,32.8,37.1,0,55.6,100,0,33.8,37.6,0,38.9,46.4,46.4,54.4,41.1,32.6,35.7,15.7,39.8,36.9,ACS_Economic_DC_CensusTract_184,,{299B98EE-C237-42C1-AC44-443AF401CE6B},007408,0,0
183,74.09,404873,5767,11001007409,"Census Tract 74.09; District of Columbia; District of Columbia",2682,1595,1595,1107,488,0,1087,1595,30.6,1684,1088,1088,839,348,259,695,529,1054,429,0,452,0,145,28,39.1,1107,439,369,292,0,7,1107,0,43,0,0,7,14,64,121,226,204,259,42,127,1107,792,266,49,0,1815,432,147,282,76,229,269,218,81,41,40,33495,53360,1077,68459,692,12102,213,46658,213,7879,206,1871,940,1009,292,47,166,49,198,142,99,0,16,0,0,36881,26343,806,48625,70345,29909,88162,54297,3718,3588,1022,2781,130,1100,0,2124,1438,1017,984,639,370,33,421,331,96,235,90,686,679,94,632,7,41.6,56.3,58.6,32.6,100,0,25.5,25.6,0,42.9,57.7,57.7,52.5,59.3,37,39.1,27.7,45.9,34.2,ACS_Economic_DC_CensusTract_185,,{021D0B91-4E25-498E-969A-274FBDFAFE41},007409,0,0
184,78.09,535254,0,11001007809,"Census Tract 78.09; District of Columbia; District of Columbia",2252,1568,1568,1144,424,0,684,1568,27,1373,924,924,711,535,218,527,341,1037,491,240,144,22,47,93,42.4,1144,501,155,303,109,76,1144,0,146,49,0,34,126,21,96,183,173,53,59,204,1144,658,486,0,0,1209,322,135,48,40,37,149,139,173,76,90,68419,74182,868,89443,190,13145,204,30895,110,10449,80,1453,380,626,188,108,0,9,0,118,37,64,68,34,0,73158,28718,583,68250,74533,47606,64409,59808,3233,3211,1573,2207,22,1120,0,1771,1449,1025,1009,863,182,16,424,418,22,418,6,322,322,31,291,0,47.3,68.2,93.1,11.9,17.8,0,56.2,78.5,100,41.9,68.5,68.5,61.8,72.8,28.9,29,28.7,43.3,37.2,ACS_Economic_DC_CensusTract_186,,{40434F0E-2083-4D5B-8F7E-66EA7F59F8D4},007809,0,0
185,79.03,247945,0,11001007903,"Census Tract 79.03; District of Columbia; District of Columbia",1464,1018,1006,911,95,12,446,1006,9.4,762,520,520,510,148,89,158,81,915,343,39,286,32,45,170,35.1,911,595,140,98,9,69,911,0,20,2,7,54,56,38,9,200,165,131,77,152,911,629,251,31,0,763,32,24,30,43,51,74,123,80,124,182,103523,126857,622,125244,169,20804,174,47349,62,6708,37,1170,111,448,0,6,8,12,23,18,73,48,108,152,161630,162553,55104,315,56528,75684,73200,101579,88571,1727,1667,1129,636,60,306,9,1245,973,878,841,731,116,37,95,84,44,40,11,272,269,87,211,3,3.1,0,0,2.8,0,0,3.9,0,0,6.7,0,0,0,0,8.2,6.5,19.9,2.8,19.6,ACS_Economic_DC_CensusTract_187,,{7FE2EAB0-7DED-4228-A80D-3B6C155BCCB9},007903,0,0
186,80.01,322795,0,11001008001,"Census Tract 80.01; District of Columbia; District of Columbia",2451,2131,2131,2094,37,0,320,2131,1.7,1127,873,873,852,374,318,231,231,2089,513,158,414,78,178,748,32.2,2094,1773,138,149,0,34,2094,0,85,29,23,83,18,120,84,509,225,81,295,542,2094,1312,731,51,0,1416,7,0,0,19,0,90,131,306,234,629,189159,257608,1388,253155,192,15319,191,29515,0,0,12,0,0,843,7,0,0,19,0,22,30,118,75,572,250001,325154,110102,573,145524,157335,127716,155932,108125,3048,3048,2899,290,0,637,0,2234,2101,2064,2064,1980,104,0,37,37,37,0,0,133,133,95,40,0,0.8,0,0,1,0,0,0,0,0,1.8,0,0,0,0,2.2,2.4,0,0.7,5.1,ACS_Economic_DC_CensusTract_188,,{3D366B4B-CEB1-4E0F-BF62-EAE59E282A73},008001,0,0
187,94,1582882,0,11001009400,"Census Tract 94; District of Columbia; District of Columbia",3865,2636,2626,2403,223,10,1229,2626,8.5,2044,1305,1305,1191,463,333,569,481,2404,1085,81,291,63,76,808,31.2,2403,1614,327,270,157,35,2403,11,92,91,9,43,49,132,107,333,714,200,380,242,2403,1895,421,87,0,1807,105,66,25,63,136,170,237,256,189,560,119462,144589,1376,158713,557,18922,580,42117,169,10379,39,0,226,1266,61,58,0,0,75,47,238,166,144,477,148500,165340,56156,541,61964,77117,72028,86654,105368,4879,4698,3758,1776,181,1146,58,2734,2397,2174,2110,1952,169,64,223,191,109,82,32,337,310,139,239,27,9.4,17,0,7.4,10,0,15.6,44.2,0,11.1,15.8,15.8,11.2,18.6,9.8,7,17.6,10.1,16,ACS_Economic_DC_CensusTract_189,,{395B653A-795E-4310-A685-512564F8A1A9},009400,0,0
188,95.03,1423609,0,11001009503,"Census Tract 95.03; District of Columbia; District of Columbia",2344,1469,1469,1380,89,0,875,1469,6.1,1152,773,773,734,269,256,409,368,1355,752,16,209,39,28,311,33.1,1380,824,132,196,92,136,1380,0,89,16,0,52,122,43,35,160,460,50,133,220,1380,764,481,135,0,1100,42,0,12,60,44,172,175,203,115,277,115820,150377,896,148163,379,19388,377,46916,61,6861,0,0,91,813,11,0,0,60,7,123,105,173,102,232,134076,167329,53534,287,76648,92736,59135,61442,98676,3037,2935,2093,1417,102,792,27,1557,1271,1212,1194,963,276,18,59,37,12,25,22,286,251,154,128,35,2.8,6.1,0,2.4,4.9,0,4.1,11.7,0,12.3,11.1,11.1,0,14.9,12.7,13.5,10.8,5.4,42.8,ACS_Economic_DC_CensusTract_190,,{717477C8-EABE-40BE-A1AF-8D679F13F361},009503,0,0
189,95.04,1033168,0,11001009504,"Census Tract 95.04; District of Columbia; District of Columbia",2824,1742,1742,1520,222,0,1082,1742,12.7,1675,923,923,838,168,168,193,193,1520,505,25,296,110,201,383,30.9,1520,1109,109,175,72,55,1520,0,99,13,0,38,39,49,52,268,337,124,150,351,1520,921,555,44,0,1197,91,20,35,54,84,100,140,153,254,266,131168,132523,874,147905,364,14291,380,35534,47,15655,11,0,78,806,59,8,6,7,0,80,83,132,173,258,170197,157513,51089,391,44770,72742,77892,82100,95643,2974,2961,2331,1031,13,380,0,1989,1663,1461,1448,1375,162,13,202,202,135,67,0,326,326,206,120,0,8.3,0,0,2.3,0,0,24,0,0,12.8,1.1,0,0,0,14.5,16.3,8.8,5.1,37.6,ACS_Economic_DC_CensusTract_191,,{0C0DA527-A60D-4289-8E1C-5989D488B280},009504,0,0
190,95.05,1033208,0,11001009505,"Census Tract 95.05; District of Columbia; District of Columbia",3405,2494,2494,2312,182,0,911,2494,7.3,2070,1438,1438,1363,33,24,773,433,2299,919,205,420,11,33,711,29.5,2312,1447,280,585,0,0,2312,0,39,0,0,231,71,82,69,330,410,215,94,771,2312,1206,1063,24,19,1820,60,48,32,107,282,162,265,224,143,497,95735,133522,1523,139344,421,16105,477,37787,48,19985,98,7131,70,880,0,0,0,0,40,47,146,117,117,413,177321,185150,58378,940,47293,81724,76119,112000,85450,4282,4168,3297,1530,114,936,48,2762,2386,2204,2138,1873,403,66,182,182,84,98,0,376,376,261,183,0,0,0,0,0,0,0,0,0,0,4.7,0,0,0,0,6,6.4,4.3,0,17.4,ACS_Economic_DC_CensusTract_192,,{520A8565-E98C-44FA-A8B4-7A0E3AD53EEB},009505,0,0
191,99.07,466954,0,11001009907,"Census Tract 99.07; District of Columbia; District of Columbia",1781,1349,1349,1269,80,0,432,1349,5.9,881,659,659,604,53,53,589,568,1226,325,51,656,0,0,194,34.3,1269,367,284,446,0,172,1269,0,0,0,0,155,277,15,95,132,115,271,0,209,1269,680,570,19,0,923,44,54,71,81,101,194,160,50,93,75,66887,80845,715,88729,214,16765,122,44746,63,10725,17,0,313,472,44,5,51,10,114,31,78,36,28,75,64250,88286,38151,451,0,66613,47232,85350,76330,2459,2411,1069,1533,48,807,0,1400,1193,1113,1098,626,490,15,80,55,0,55,25,207,199,0,199,8,16.9,18.1,0,24.2,0,0,24.6,30.4,0,22.8,47.6,47.6,0,55.7,11.8,12.1,9.9,27.3,8.3,ACS_Economic_DC_CensusTract_193,,{A60C7EC1-CB92-4C8D-B360-869610134787},009907,0,0
192,25.01,543460,0,11001002501,"Census Tract 25.01; District of Columbia; District of Columbia",2282,1547,1547,1446,101,0,735,1547,6.5,1091,776,776,763,429,395,291,264,1441,451,261,225,17,64,423,29.4,1446,987,308,70,35,46,1446,0,54,25,0,24,7,96,71,322,252,144,227,224,1446,840,362,241,3,1046,0,35,25,6,18,54,104,205,72,527,205357,185024,902,190314,260,16452,203,38628,35,10046,8,0,39,770,0,0,8,0,18,29,65,138,53,459,240098,199828,61684,276,114412,133110,92256,116968,106313,2977,2976,2416,1105,1,795,0,1848,1483,1390,1389,1313,258,1,93,93,54,39,0,365,365,188,263,0,1,0,0,1.3,0,0,0,0,0,4.3,2.2,0,0,0,5,4,10.5,0.7,23.8,ACS_Economic_DC_CensusTract_194,,{958B5070-F806-4B7B-9CCB-03676686CD7A},002501,0,0
193,23.02,2010924,5298,11001002302,"Census Tract 23.02; District of Columbia; District of Columbia",1418,674,674,635,39,0,744,674,5.8,515,383,383,365,26,26,148,127,635,298,24,204,21,28,60,26.2,635,471,56,89,19,0,635,0,25,0,9,28,7,0,64,73,158,138,76,57,635,500,112,23,0,866,35,68,16,34,126,69,105,298,77,38,96607,100317,391,128064,468,20434,301,35115,40,11843,7,0,23,198,0,0,16,0,7,23,49,67,29,7,122500,121643,56812,668,96429,93591,74167,76875,93750,1473,1466,1283,678,7,238,0,745,650,621,614,573,76,7,29,29,11,18,0,95,95,42,53,0,8.1,0,0,0,0,0,32.7,0,0,15.1,0,0,0,0,17.4,16.6,18.8,7.3,20.6,ACS_Economic_DC_CensusTract_195,,{A8613208-5CBB-49BC-BEFA-5361556A7A09},002302,0,0
194,24,556408,0,11001002400,"Census Tract 24; District of Columbia; District of Columbia",3378,2389,2380,2273,107,9,989,2380,4.5,1554,950,950,926,263,263,263,208,2260,687,231,596,106,147,493,31.9,2273,1560,507,157,8,41,2273,3,26,37,0,96,67,72,102,400,584,182,349,355,2273,1624,566,83,0,1504,42,0,0,83,81,145,125,293,318,417,134340,168915,1358,166660,318,19642,208,32267,9,0,7,0,68,799,6,0,0,19,48,57,84,180,162,243,151719,185678,66538,705,125596,137885,59594,100592,88512,3818,3610,3062,973,208,589,0,2778,2275,2168,2081,1929,209,87,107,83,64,19,24,503,406,285,234,97,0.8,0,0,1.2,0,0,0,0,0,4.3,1.4,0,0,0,4.8,3.8,10.6,0.5,12.7,ACS_Economic_DC_CensusTract_196,,{2E47C437-4E23-465F-B3A8-1039CDC94486},002400,0,0
195,70,439473,0,11001007000,"Census Tract 70; District of Columbia; District of Columbia",2062,1774,1544,1494,50,230,288,1544,3.2,965,774,760,750,243,189,160,133,1699,535,21,339,247,29,528,21.7,1494,1300,52,67,54,21,1494,0,33,33,11,0,10,67,80,427,202,64,177,390,1494,981,470,43,0,1030,27,0,6,0,11,147,52,141,131,515,197500,228440,918,216735,173,35344,225,87245,0,0,18,0,0,518,0,0,0,0,0,23,21,46,29,399,250001,288279,97573,512,124167,162071,82981,110909,117656,2106,2099,2040,448,7,421,0,1380,1286,1236,1236,1227,32,0,50,50,40,10,0,94,87,84,4,7,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,3.1,3.1,3,0,7.7,ACS_Economic_DC_CensusTract_197,,{E5266FAB-5BB5-4BBA-AFFA-26161B67E098},007000,0,0
196,71,602223,149901,11001007100,"Census Tract 71; District of Columbia; District of Columbia",2989,1907,1860,1775,85,47,1082,1860,4.6,1341,853,853,782,112,101,479,404,1816,464,88,485,61,189,529,29,1775,1352,265,81,59,18,1775,9,66,27,0,82,7,80,55,441,317,225,69,397,1775,1107,634,34,0,1486,37,61,96,55,145,79,156,191,294,372,131429,144271,1250,144750,257,18187,282,52866,124,10316,37,0,263,678,25,0,74,5,87,26,4,30,195,232,181121,176548,62151,808,99767,114264,97372,112656,86635,3391,3310,2017,1632,81,929,0,2155,1805,1728,1655,1491,216,73,77,71,0,71,6,350,350,86,284,0,14.6,31.2,0,0,0,0,41.4,44.1,0,16.7,42.1,42.1,49.1,40.5,11.4,10.5,18.9,17.4,15,ACS_Economic_DC_CensusTract_198,,{FEE86F6B-6B40-4390-A4C6-EAA22B3E7780},007100,0,0
197,69,398513,0,11001006900,"Census Tract 69; District of Columbia; District of Columbia",2289,1986,1969,1956,13,17,303,1969,0.7,1161,1007,998,998,241,186,332,323,1973,262,52,658,307,119,575,28.3,1956,1512,249,137,0,58,1956,0,0,33,11,21,0,115,73,573,200,263,216,451,1956,1293,595,68,0,1259,41,38,13,8,0,64,156,231,107,601,194044,232816,1090,240160,125,22682,173,98491,0,0,0,0,82,505,0,0,0,0,0,11,22,31,32,409,250001,354972,108703,754,123500,146332,96688,126958,112727,2667,2636,2530,304,31,573,0,1931,1763,1750,1728,1728,62,22,13,13,13,0,0,168,159,73,86,9,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,5.4,5.9,0,0,10.2,ACS_Economic_DC_CensusTract_199,,{918B00F6-6525-4B26-BF58-4F7927A827EB},006900,0,0
198,95.07,295290,0,11001009507,"Census Tract 95.07; District of Columbia; District of Columbia",1248,818,818,769,49,0,430,818,6,664,310,310,304,111,47,111,71,757,439,61,65,0,10,182,35.6,769,266,181,99,67,156,769,0,62,12,4,53,66,35,1,161,137,65,45,128,769,557,168,44,0,598,20,24,26,84,30,77,64,120,57,96,84459,130467,504,106890,137,10857,177,89376,16,0,42,0,76,371,0,5,10,84,3,32,47,81,31,78,110313,157236,49277,227,71612,86717,67530,55000,81612,1650,1632,951,910,18,425,0,959,793,744,744,584,160,0,49,31,31,0,18,166,166,13,153,0,25.9,40.1,0,46.7,52.3,0,2.9,0,0,16.3,9.8,9.8,0,17.5,18.5,19.1,16.2,16.2,16.7,ACS_Economic_DC_CensusTract_200,,{EECD7BBC-449F-412F-A71A-70E3172DA2CA},009507,0,0
199,95.08,962212,0,11001009508,"Census Tract 95.08; District of Columbia; District of Columbia",3255,1843,1843,1645,198,0,1412,1843,10.7,1978,935,935,899,256,247,637,324,1601,468,88,335,0,149,561,35.3,1645,1219,84,200,43,99,1645,0,41,21,0,29,71,146,53,329,337,10,282,326,1645,1127,502,16,0,1827,171,12,126,94,198,186,341,215,191,293,78398,127459,1270,142773,521,16184,491,47470,117,9768,3,0,168,716,0,0,32,39,3,33,161,108,174,166,148846,161341,58446,1111,51109,103900,66113,96480,53182,3908,3904,2979,1531,4,941,0,2252,1638,1442,1439,1426,42,3,196,196,145,51,0,614,614,231,417,0,4.2,6.1,0,0,0,0,9.1,12.8,0,10.2,9.4,9.4,25.8,5.3,10.4,9.8,12.6,5.3,19.2,ACS_Economic_DC_CensusTract_201,,{502DF893-661D-4CE0-9E06-DC860B51164A},009508,0,0
200,95.09,648848,0,11001009509,"Census Tract 95.09; District of Columbia; District of Columbia",2597,1803,1803,1728,75,0,794,1803,4.2,1538,979,979,949,344,302,189,169,1728,740,153,280,12,24,519,29.4,1728,1070,257,188,97,116,1728,0,58,31,0,44,137,50,120,298,313,158,141,378,1728,1067,526,135,0,1359,54,36,28,0,65,86,314,332,231,213,109107,126287,1048,131028,264,19077,428,42531,49,9590,115,3717,96,683,0,0,0,0,11,76,126,123,170,177,152853,161119,54711,676,89375,89457,72676,66595,102557,3148,3019,2613,956,129,593,0,1992,1734,1659,1592,1433,224,67,75,60,45,15,15,258,211,153,74,47,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,3.9,1.8,11.2,0,12.5,ACS_Economic_DC_CensusTract_202,,{17A8AC5E-696A-4D99-B104-13FAB9E2565E},009509,0,0
201,97,403051,3427,11001009700,"Census Tract 97; District of Columbia; District of Columbia",2896,1715,1715,1418,297,0,1181,1715,17.3,1605,1126,1126,979,462,336,487,349,1418,508,89,751,14,33,23,42.1,1418,662,337,218,53,148,1418,0,29,34,0,132,76,0,13,480,255,214,38,147,1418,1032,338,48,0,1788,181,91,432,53,183,250,77,413,39,69,46647,69734,1171,90174,637,16751,256,16027,122,7366,124,3717,613,649,133,48,0,29,0,214,77,74,39,35,63457,69180,33020,1139,0,60315,50254,58154,0,3830,3695,1779,2595,135,1011,0,2106,1609,1343,1282,952,419,61,266,192,28,179,74,497,497,26,486,0,27.9,37.8,22.4,0,0,0,38.6,46.1,28.1,22.3,29.2,29.2,11.6,40.9,20.1,20.7,18.2,21.2,24.2,ACS_Economic_DC_CensusTract_203,,{F478DEB8-5DC9-4F48-83E1-B26A3E7F57FB},009700,0,0
202,98.01,431384,7884,11001009801,"Census Tract 98.01; District of Columbia; District of Columbia",1442,635,635,535,100,0,807,635,15.7,1039,368,368,368,130,95,283,228,489,278,44,101,6,22,38,36.6,535,150,139,97,30,119,535,0,20,12,0,17,90,0,38,45,147,34,53,79,535,336,185,14,0,1107,138,422,101,92,56,169,67,55,0,7,14827,33484,484,56994,614,11682,64,12192,107,7653,35,857,637,320,22,47,0,36,25,133,9,41,0,7,61250,57482,20448,787,12282,23726,44803,49643,54531,1814,1782,594,1384,32,474,32,768,552,473,473,299,243,0,79,79,30,49,0,216,216,16,202,0,21.6,20.2,0,0,0,0,27.3,20.8,0,38.4,24.6,24.6,0,34.5,42.7,24.3,68.9,21.1,60.5,ACS_Economic_DC_CensusTract_204,,{6F570665-911A-4510-A98D-EB9E985D917D},009801,0,0
203,99.05,431558,0,11001009905,"Census Tract 99.05; District of Columbia; District of Columbia",2619,1710,1710,1415,295,0,909,1710,17.3,1447,871,871,693,363,238,713,541,1391,646,225,291,0,19,210,31.7,1415,678,202,386,76,73,1415,0,132,0,24,185,12,0,23,348,218,134,21,318,1415,806,551,58,0,1369,67,144,145,144,33,215,159,223,108,131,63954,97110,1020,114328,242,16836,233,33225,220,9683,182,7905,361,881,37,103,77,73,23,138,113,133,86,98,68688,95993,38269,488,58484,96285,52123,70865,59392,3449,3392,2077,1840,57,1076,0,2071,1681,1386,1371,1002,435,15,295,253,116,177,42,390,390,76,358,0,19.9,27.7,0,0,0,0,31.9,41.2,0,19.8,32.1,32.1,15.2,39.3,14.3,15.3,7.6,19.7,20.5,ACS_Economic_DC_CensusTract_173,,{4EFD7120-0489-454D-A7B2-684E72B7BCBC},009905,0,0
